Vp,Vg,Ia
69.0,0.0,22.129
70.0,0.0,22.574
71.0,0.0,22.993
72.0,0.0,23.429
73.0,0.0,23.97
74.0,0.0,24.902
75.0,0.0,25.282
76.0,0.0,25.588
77.0,0.0,25.956
78.0,0.0,26.575
79.0,0.0,27.306
80.0,0.0,27.935
81.0,0.0,28.487
82.0,0.0,28.955
83.0,0.0,29.343
84.0,0.0,29.696
85.0,0.0,30.096
86.0,0.0,30.657
87.0,0.0,31.337
88.0,0.0,31.953
89.0,0.0,32.456
90.0,0.0,32.885
91.0,0.0,33.304
92.0,0.0,33.771
93.0,0.0,34.382
94.0,0.0,35.018
95.0,0.0,35.517
96.0,0.0,35.968
97.0,0.0,36.441
98.0,0.0,37.035
99.0,0.0,37.699
100.0,0.0,38.257
101.0,0.0,38.771
102.0,0.0,39.283
103.0,0.0,39.812
104.0,0.0,40.353
105.0,0.0,40.902
106.0,0.0,41.459
107.0,0.0,42.042
108.0,0.0,42.681
109.0,0.0,43.355
110.0,0.0,44.006
111.0,0.0,44.614
112.0,0.0,45.19
113.0,0.0,45.737
114.0,0.0,46.25
115.0,0.0,46.721
116.0,0.0,47.19
117.0,0.0,47.767
118.0,0.0,48.531
119.0,0.0,49.274
120.0,0.0,49.605
38.0,2.0,0.042
39.0,2.0,0.094
40.0,2.0,0.148
41.0,2.0,0.208
42.0,2.0,0.276
43.0,2.0,0.357
44.0,2.0,0.454
45.0,2.0,0.557
46.0,2.0,0.65
47.0,2.0,0.723
48.0,2.0,0.783
49.0,2.0,0.837
50.0,2.0,0.901
51.0,2.0,0.987
52.0,2.0,1.081
53.0,2.0,1.178
54.0,2.0,1.277
55.0,2.0,1.38
56.0,2.0,1.49
57.0,2.0,1.636
58.0,2.0,1.867
59.0,2.0,2.077
60.0,2.0,2.279
61.0,2.0,2.478
62.0,2.0,2.68
63.0,2.0,2.892
64.0,2.0,3.113
65.0,2.0,3.342
66.0,2.0,3.578
67.0,2.0,3.823
68.0,2.0,4.081
69.0,2.0,4.352
70.0,2.0,4.633
71.0,2.0,4.922
72.0,2.0,5.215
73.0,2.0,5.516
74.0,2.0,5.832
75.0,2.0,6.225
76.0,2.0,6.65
77.0,2.0,7.02
78.0,2.0,7.368
79.0,2.0,7.694
80.0,2.0,7.987
81.0,2.0,8.253
82.0,2.0,8.525
83.0,2.0,8.82
84.0,2.0,9.141
85.0,2.0,9.49
86.0,2.0,9.869
87.0,2.0,10.284
88.0,2.0,10.764
89.0,2.0,11.292
90.0,2.0,11.711
91.0,2.0,12.033
92.0,2.0,12.322
93.0,2.0,12.607
94.0,2.0,12.913
95.0,2.0,13.271
96.0,2.0,13.727
97.0,2.0,14.296
98.0,2.0,14.722
